Removed Pin From Net: NetName=TOUCH_IN Pin=C11-1
Removed Pin From Net: NetName=+3V3 Pin=D1-2
Removed Pin From Net: NetName=NetJ3_2 Pin=Q2-1
Removed Pin From Net: NetName=TOUCH_IN Pin=Q2-3
Removed Pin From Net: NetName=GND Pin=R5-1
Removed Pin From Net: NetName=TOUCH_IN Pin=R5-2
Removed Member From Class: ClassName=Schematic Member=D1
Removed Member From Class: ClassName=Schematic Member=Q2
Change Component Comment : Designator=R5 Old Comment=1M New Comment=10K
Change Component Comment : Designator=C11 Old Comment=1uF New Comment=47nF
Change Component Designator: OldDesignator=C7 NewDesignator=C8
Change Component Designator: OldDesignator=C8 NewDesignator=C9
Change Component Designator: OldDesignator=C9 NewDesignator=C12
Change Component Designator: OldDesignator=C10 NewDesignator=C13
Change Component Designator: OldDesignator=R1 NewDesignator=R6
Change Component Designator: OldDesignator=R2 NewDesignator=R1
Change Component Designator: OldDesignator=R3 NewDesignator=R8
Change Component Designator: OldDesignator=R4 NewDesignator=R2
Change Component Designator: OldDesignator=U4 NewDesignator=U5
Change component parameters: Designator = "C11"; Footprint = "C0402"; UniqueID = "\CXTLDDCD"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "Capacitance"; Value = "47nF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case/Package"; Value = "0402"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case Code (Imperial)"; Value = "0402"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case Code (Metric)"; Value = "1005"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "http://www.samsungsem.com/servlet/FileDownload?filename=productcatalog/pdf/MLCC.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "http://www.samsungsem.com/servlet/FileDownload?filename=productcatalog/pdf/MLCC.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "http://www.samsungsem.com/kr/support/library/product-catalog/mlcc.jsp"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "http://www.samsungsem.com/kr/support/library/product-catalog/mlcc.jsp"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Description 1"; Value = "Cap Ceramic 0.047uF 16V X7R 10% SMD 0402 125°C Automotive T/R"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Dielectric"; Value = "X7R"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Length"; Value = "0.039inch"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer 1"; Value = "Samsung"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number 1"; Value = "CL05B473KO5VPNC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Operating Temperature"; Value = "125°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Min Operating Temperature"; Value = "-55°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mount"; Value = "Surface Mount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "Tape and Reel"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Pricing 1"; Value = "1=0.1, 10=0.047, 100=0.0208, 500=0.0149, 1000=0.0117, 2500=0.0106, 5000=0.0098 (USD)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Stock 1"; Value = "619000"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "1276-6670-6-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Thickness"; Value = "0.022inch"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "10%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage Rating"; Value = "16V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Width"; Value = "0.02inch"; VariantName = "[No Variations]"
Change component parameters: Designator = "R5"; Footprint = "R0402"; UniqueID = "\XPQGEMGA"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "Case/Package"; Value = "0402"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case Code (Imperial)"; Value = "0402"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case Code (Metric)"; Value = "1005"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "https://datasheet.ciiva.com/11821/0900766b80f806dd-11821170.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "https://datasheet.ciiva.com/11821/0900766b80f806dd-11821170.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "https://datasheet.ciiva.com/17212/aoa0000ce1-17212101.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "https://datasheet.ciiva.com/17212/aoa0000ce1-17212101.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3Description"; Value = "https://datasheet.ciiva.com/46371/1678796-46371910.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3URL"; Value = "https://datasheet.ciiva.com/46371/1678796-46371910.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink4Description"; Value = "https://datasheet.ciiva.com/24070/aoa0000ce1-37422-24070679.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink4URL"; Value = "https://datasheet.ciiva.com/24070/aoa0000ce1-37422-24070679.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink5Description"; Value = "https://datasheet.ciiva.com/43460/1678796-43460391.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink5URL"; Value = "https://datasheet.ciiva.com/43460/1678796-43460391.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink6Description"; Value = "https://datasheet.ciiva.com/16774/70260739-16774504.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink6URL"; Value = "https://datasheet.ciiva.com/16774/70260739-16774504.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink7Description"; Value = "https://datasheet.ciiva.com/27055/1935721-27055112.pdf"; VariantName = "[No Variations]"
